Individual,Salary,Exper,Gender,Age
1,67.50,14,Male,Under 55
2,53.51,6,Male,Under 55
3,50.05,2,Female,Under 55
4,111.88,34,Male,Over 55
5,63.68,21,Male,Under 55
6,75.56,35,Female,Over 55
7,65.50,14,Male,Under 55
8,61.04,3,Male,Under 55
9,64.30,20,Female,Under 55
10,58.38,4,Male,Under 55
11,88.29,28,Male,Under 55
12,88.61,26,Male,Under 55
13,52.23,6,Female,Under 55
14,59.65,16,Female,Under 55
15,63.49,22,Female,Under 55
16,59.75,7,Male,Under 55
17,87.78,32,Female,Over 55
18,62.80,14,Male,Under 55
19,114.73,29,Male,Under 55
20,63.21,15,Male,Under 55
21,61.55,6,Male,Under 55
22,114.20,36,Male,Over 55
23,70.53,33,Female,Over 55
24,58.98,15,Female,Under 55
25,68.91,30,Female,Under 55
26,65.20,26,Female,Under 55
27,55.57,7,Male,Under 55
28,56.75,2,Male,Under 55
29,82.13,26,Male,Over 55
30,96.07,28,Male,Over 55
31,67.61,24,Male,Under 55
32,57.20,6,Female,Under 55
33,59.39,13,Male,Under 55
34,54.73,8,Female,Under 55
35,64.24,17,Female,Under 55
36,98.54,25,Male,Under 55
37,66.41,28,Female,Under 55
38,81.77,36,Female,Over 55
39,77.69,23,Male,Under 55
40,62.10,19,Female,Under 55
41,61.45,8,Female,Under 55
42,73.06,35,Female,Over 55
